127.0.0.1 - - [06/Apr/2025:00:36:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /login_test/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /login_test/static/css/home/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EB%B0%98%EC%B0%AC%20%EB%B0%B0%EB%84%88.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EC%8B%9D%EB%8B%A8%20%EB%B0%B0%EB%84%88.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EC%B0%B8%EC%99%B8%20%EB%B0%B0%EB%84%88.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EB%82%98%EC%9D%98%20%EA%B1%B4%EA%B0%95%EC%9D%80.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EA%B1%B4%EA%B0%95%EC%8B%9D.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EC%8B%9D%EB%8B%A8%20%EB%B0%B0%EB%84%88.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EB%B0%98%EC%B0%AC%20%EB%B0%B0%EB%84%88.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EB%82%98%EC%9D%98%20%EA%B1%B4%EA%B0%95%EC%9D%80.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EC%B0%B8%EC%99%B8%20%EB%B0%B0%EB%84%88.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:58 +0900] "GET /img/main/%EA%B1%B4%EA%B0%95%EC%8B%9D.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:37:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:07 +0900] "GET /img/main/%EB%B0%98%EC%B0%AC%20%EB%B0%B0%EB%84%88.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:07 +0900] "GET /img/main/%EC%8B%9D%EB%8B%A8%20%EB%B0%B0%EB%84%88.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:07 +0900] "GET /img/main/%EC%B0%B8%EC%99%B8%20%EB%B0%B0%EB%84%88.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:07 +0900] "GET /img/main/%EB%82%98%EC%9D%98%20%EA%B1%B4%EA%B0%95%EC%9D%80.jpg HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:07 +0900] "GET /img/main/%EA%B1%B4%EA%B0%95%EC%8B%9D.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:22 +0900] "GET /login_test/%EB%A1%9C%EA%B7%B8%EC%9D%B8%20%EC%9E%91%EC%97%85%EC%A4%91/join.html HTTP/1.1" 200 2456
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:22 +0900] "GET /login_test/%EB%A1%9C%EA%B7%B8%EC%9D%B8%20%EC%9E%91%EC%97%85%EC%A4%91/join.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:38:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
