INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (6, '식품', '베스트셀러 상품입니다.', '/images/product/detail_1.jpg', '식품 상품 1', 67022, '/images/product/thumb_1.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (51, '리빙', '국내산 원재료 사용.', '/images/product/detail_2.jpg', '리빙 상품 2', 87031, '/images/product/thumb_2.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (86, '가전', '품질 좋은 상품입니다.', '/images/product/detail_3.jpg', '가전 상품 3', 56067, '/images/product/thumb_3.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (9, '식품', '베스트셀러 상품입니다.', '/images/product/detail_4.jpg', '식품 상품 4', 3390, '/images/product/thumb_4.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (40, '가전', '국내산 원재료 사용.', '/images/product/detail_5.jpg', '가전 상품 5', 53465, '/images/product/thumb_5.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (44, '문구', '할인 중인 인기 제품입니다.', '/images/product/detail_6.jpg', '문구 상품 6', 38808, '/images/product/thumb_6.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (1, '식품', '베스트셀러 상품입니다.', '/images/product/detail_7.jpg', '식품 상품 7', 91762, '/images/product/thumb_7.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (59, '문구', '국내산 원재료 사용.', '/images/product/detail_8.jpg', '문구 상품 8', 40850, '/images/product/thumb_8.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (57, '리빙', '한정 수량 특가!', '/images/product/detail_9.jpg', '리빙 상품 9', 65002, '/images/product/thumb_9.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (51, '리빙', '베스트셀러 상품입니다.', '/images/product/detail_10.jpg', '리빙 상품 10', 45208, '/images/product/thumb_10.jpg');
INSERT INTO product_tbl (amount, category, description, detail_url, productName, productPrice, thumbnail_url) VALUES (87, '문구', '한정 수량 특가!', '/images/product/detail_11.jpg', '문구 상품 11', 93869, '/images/product/thumb_11.jpg');
